FSRQ,DWJZ,LJJZ,JZZZL
2023-09-12,1.8472,1.9172,1.11
2023-09-11,1.8270,1.8970,0.20
2023-09-08,1.8234,1.8934,-1.97
2023-09-07,1.8600,1.9300,-2.64
2023-09-06,1.9105,1.9805,-0.33
2023-09-05,1.9169,1.9869,-0.38
2023-09-04,1.9242,1.9942,1.46
2023-09-01,1.8966,1.9666,0.31
2023-08-31,1.8908,1.9608,-1.19
2023-08-30,1.9135,1.9835,-0.62
2023-08-29,1.9255,1.9955,2.34
2023-08-28,1.8814,1.9514,-0.70
2023-08-25,1.8946,1.9646,-1.30
2023-08-24,1.9195,1.9895,0.64
2023-08-23,1.9073,1.9773,-2.72
2023-08-22,1.9606,2.0306,-0.68
2023-08-21,1.9740,2.0440,-1.58
2023-08-18,2.0056,2.0756,-1.83
2023-08-17,2.0430,2.1130,0.27
2023-09-12,1.8472,1.9172,1.11
2023-09-11,1.8270,1.8970,0.20
2023-09-08,1.8234,1.8934,-1.97
2023-09-07,1.8600,1.9300,-2.64
2023-09-06,1.9105,1.9805,-0.33
2023-09-05,1.9169,1.9869,-0.38
2023-09-04,1.9242,1.9942,1.46
2023-09-01,1.8966,1.9666,0.31
2023-08-31,1.8908,1.9608,-1.19
2023-08-30,1.9135,1.9835,-0.62
2023-08-29,1.9255,1.9955,2.34
2023-08-28,1.8814,1.9514,-0.70
2023-08-25,1.8946,1.9646,-1.30
2023-08-24,1.9195,1.9895,0.64
2023-08-23,1.9073,1.9773,-2.72
2023-08-22,1.9606,2.0306,-0.68
2023-08-21,1.9740,2.0440,-1.58
2023-08-18,2.0056,2.0756,-1.83
2023-08-17,2.0430,2.1130,0.27
2023-08-15,2.0504,2.1204,-1.04
2023-08-14,2.0720,2.1420,-1.28
2023-08-11,2.0989,2.1689,-2.22
2023-08-10,2.1465,2.2165,0.30
2023-08-09,2.1400,2.2100,-0.30
2023-08-08,2.1465,2.2165,-0.33
2023-08-07,2.1536,2.2236,-0.45
2023-08-04,2.1634,2.2334,1.18
2023-08-03,2.1381,2.2081,0.07
2023-08-02,2.1365,2.2065,-0.54
2023-08-01,2.1481,2.2181,-0.02
2023-07-31,2.1486,2.2186,1.35
2023-07-28,2.1199,2.1899,0.56
2023-07-27,2.1080,2.1780,-0.55
2023-07-26,2.1196,2.1896,-0.11
2023-07-25,2.1220,2.1920,3.52
2023-07-24,2.0498,2.1198,-2.22
2023-07-21,2.0964,2.1664,-1.36
2023-07-20,2.1253,2.1953,0.58
2023-07-18,2.1360,2.2060,-0.90
2023-07-17,2.1555,2.2255,-2.44
2023-07-14,2.2094,2.2794,-1.10
2023-07-13,2.2340,2.3040,0.45
2023-07-12,2.2239,2.2939,-0.75
2023-07-11,2.2408,2.3108,0.37
2023-07-10,2.2325,2.3025,2.31
2023-07-07,2.1820,2.2520,-0.82
2023-07-06,2.2001,2.2701,-1.79
2023-07-05,2.2403,2.3103,0.06
2023-07-04,2.2390,2.3090,-0.16
2023-07-03,2.2427,2.3127,0.50
2023-06-30,2.2316,2.3016,2.63
2023-06-29,2.1744,2.2444,-0.75
2023-06-28,2.1908,2.2608,0.05
2023-06-27,2.1897,2.2597,0.28
2023-06-26,2.1836,2.2536,-0.61
2023-06-21,2.1970,2.2670,-1.59
2023-06-20,2.2325,2.3025,-0.60
2023-06-16,2.2853,2.3553,0.54
2023-06-15,2.2731,2.3431,4.21
2023-06-14,2.1813,2.2513,-1.02
2023-06-13,2.2038,2.2738,-0.25
2023-06-12,2.2093,2.2793,-0.51
2023-06-09,2.2206,2.2906,0.77
2023-06-08,2.2037,2.2737,0.71
2023-06-07,2.1882,2.2582,-1.61
